158	266
0	1
0	2
0	3
4	5
4	6
4	7
8	9
8	10
8	11
8	12
8	13
8	14
8	15
16	17
18	10
18	13
18	19
18	20
18	21
9	12
9	13
9	19
9	21
9	15
22	23
22	24
22	25
26	27
28	29
28	30
28	31
32	33
34	35
36	37
38	39
38	40
38	41
42	39
10	13
10	19
43	44
43	45
43	46
47	48
47	49
47	46
47	50
47	31
1	2
51	52
51	53
54	55
54	37
55	56
55	37
55	57
58	59
58	17
60	61
60	62
63	64
63	65
63	66
67	39
67	68
69	27
70	71
72	49
72	73
72	50
35	74
39	75
39	76
39	77
39	68
78	79
78	80
81	82
83	46
83	73
83	50
84	46
85	59
86	27
44	49
44	46
44	87
44	88
44	89
44	50
52	53
3	33
3	90
91	92
79	93
79	94
79	80
48	46
48	88
48	50
95	65
96	46
45	97
45	49
45	46
45	30
61	62
61	98
97	29
97	46
97	87
97	99
97	30
97	100
97	101
102	46
11	12
11	14
11	21
11	15
103	27
104	105
82	106
40	75
40	41
40	76
107	20
107	21
107	15
108	109
108	110
108	111
108	112
108	14
108	21
108	15
109	110
109	112
109	113
109	21
109	15
110	114
110	111
110	115
110	15
116	49
116	50
93	94
105	117
94	80
29	46
29	73
29	99
29	30
29	118
29	101
92	119
49	46
49	120
49	50
49	121
49	122
49	31
123	6
123	66
123	124
125	126
127	27
56	37
46	73
46	87
46	120
46	128
46	99
46	30
46	118
46	88
46	50
46	121
46	100
46	101
46	31
46	129
12	130
12	131
12	132
12	14
12	21
12	15
73	128
73	118
73	88
73	89
73	122
73	133
73	31
73	134
135	126
135	136
137	27
87	99
87	30
138	139
140	141
139	142
59	17
120	50
120	31
143	37
99	30
99	118
99	100
33	90
30	144
30	101
37	71
5	6
5	7
5	124
5	145
146	24
23	24
23	25
88	133
141	147
17	148
24	25
50	31
149	27
150	27
151	27
6	124
25	152
153	66
7	124
130	14
154	119
124	145
114	14
114	21
114	15
111	21
111	15
112	15
155	115
155	113
155	156
155	157
115	113
115	156
115	157
113	156
113	157
13	19
131	20
131	21
131	15
132	21
132	15
14	20
14	21
14	15
20	21
20	15
21	15
156	157
